iter	Passed	Remaining
0	18	10135
1	33	9517
2	49	9192
3	65	9218
4	81	9095
5	97	9087
6	114	9098
7	134	9382
8	150	9307
9	167	9293
10	186	9382
11	203	9352
12	219	9298
13	237	9311
14	255	9347
15	271	9298
16	286	9217
17	303	9219
18	321	9232
19	341	9297
20	361	9349
21	381	9390
22	397	9352
23	415	9357
24	431	9301
25	447	9255
26	463	9219
27	478	9163
28	494	9116
29	508	9058
30	524	9018
31	542	9017
32	558	8989
33	575	8977
34	591	8946
35	607	8906
36	622	8862
37	639	8858
38	658	8861
39	677	8869
40	692	8829
41	709	8818
42	723	8766
43	738	8728
44	752	8678
45	767	8644
46	786	8651
47	802	8626
48	817	8588
49	834	8581
50	852	8572
51	867	8546
52	883	8521
53	905	8554
54	923	8550
55	939	8524
56	956	8511
57	972	8485
58	988	8463
59	1003	8431
60	1021	8419
61	1034	8379
62	1050	8351
63	1064	8313
64	1081	8305
65	1098	8292
66	1115	8274
67	1128	8233
68	1142	8195
69	1157	8169
70	1172	8142
71	1188	8120
72	1204	8102
73	1219	8077
74	1236	8060
75	1252	8040
76	1269	8028
77	1286	8016
78	1305	8013
79	1319	7981
80	1334	7959
81	1353	7957
82	1371	7949
83	1394	7969
84	1409	7944
85	1427	7936
86	1443	7911
87	1459	7892
88	1472	7859
89	1489	7842
90	1507	7833
91	1524	7818
92	1541	7805
93	1557	7787
94	1570	7753
95	1586	7735
96	1608	7741
97	1623	7721
98	1637	7689
99	1651	7662
100	1669	7653
101	1687	7645
102	1710	7653
103	1724	7626
104	1741	7612
105	1761	7610
106	1777	7590
107	1792	7566
108	1807	7547
109	1824	7528
110	1840	7512
111	1858	7498
112	1874	7483
113	1890	7462
114	1907	7445
115	1926	7438
116	1947	7439
117	1960	7410
118	1976	7392
119	1992	7370
120	2013	7370
121	2027	7346
122	2050	7350
123	2067	7336
124	2083	7318
125	2100	7300
126	2115	7279
127	2128	7250
128	2144	7230
129	2159	7207
130	2175	7189
131	2190	7168
132	2204	7143
133	2218	7118
134	2233	7098
135	2251	7084
136	2266	7063
137	2281	7042
138	2299	7031
139	2316	7014
140	2333	7000
141	2350	6984
142	2365	6964
143	2383	6950
144	2398	6929
145	2414	6912
146	2431	6897
147	2449	6885
148	2465	6868
149	2486	6861
150	2502	6843
151	2520	6831
152	2539	6821
153	2556	6805
154	2571	6785
155	2588	6769
156	2604	6752
157	2618	6729
158	2634	6709
159	2650	6692
160	2666	6675
161	2683	6658
162	2697	6635
163	2714	6620
164	2730	6602
165	2752	6600
166	2771	6588
167	2789	6576
168	2807	6561
169	2823	6544
170	2841	6529
171	2855	6507
172	2871	6490
173	2885	6468
174	2902	6450
175	2921	6441
176	2940	6428
177	2956	6410
178	2971	6390
179	2988	6374
180	3004	6358
181	3019	6338
182	3036	6321
183	3051	6302
184	3068	6286
185	3083	6265
186	3100	6250
187	3113	6227
188	3129	6209
189	3144	6190
190	3160	6172
191	3176	6155
192	3191	6135
193	3205	6113
194	3218	6089
195	3236	6077
196	3250	6055
197	3264	6034
198	3280	6016
199	3297	6001
200	3311	5980
201	3328	5965
202	3343	5945
203	3360	5931
204	3373	5907
205	3390	5892
206	3406	5875
